zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,State,Zipcode,Latitude,Longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL,Detail URL,Search Page URL,Listing Agent Email,Listing Agent Phone,Hoa Fees,Most Rencent Tax Assessed Value,Parking Capacity,Heating,Cooling,Stories,Year Built,Property Taxes,Parcel Number,Property Type,Property subtype
21693214,FOR_SALE,Condo for sale,5 days,528000,1098,481,539100,491,2858,2815,sqft,2,2,"1511 Hilo St, West Covina, CA 91792",1511 Hilo St,West Covina,CA,91792,34.042397,-117.9143,RE/MAX 2000 REALTY,false,,,https://photos.zillowstatic.com/fp/b539f8ae117a28a6b30101ba0c5e31ef-p_e.jpg,https://www.zillow.com/homedetails/1511-Hilo-St-West-Covina-CA-91792/21693214_zpid/,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A34.39358639060095%2C%22south%22%3A33.646912113366774%2C%22east%22%3A-117.88370210449219%2C%22west%22%3A-118.93976289550781%7D%2C%22usersSearchTerm%22%3A%22%22%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D,,,,,,,,,,,,,
16456392,FOR_SALE,Condo for sale,3 days,540000,1137,475,547000,481,2917,1137,sqft,2,2,"6525 Twin Circle Ln UNIT 7, Simi Valley, CA 93063",6525 Twin Circle Ln UNIT 7,Simi Valley,CA,93063,34.2667,-118.66285,Beverly and Company Inc.,false,,,https://photos.zillowstatic.com/fp/534909279f96aed40bd0fa9dbd74017a-p_e.jpg,https://www.zillow.com/homedetails/6525-Twin-Circle-Ln-UNIT-7-Simi-Valley-CA-93063/16456392_zpid/,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A34.39358639060095%2C%22south%22%3A33.646912113366774%2C%22east%22%3A-117.88370210449219%2C%22west%22%3A-118.93976289550781%7D%2C%22usersSearchTerm%22%3A%22%22%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D,,,,,,,,,,,,,
16497000,FOR_SALE,Condo for sale,4 days,539000,1104,488,547800,496,3077,,,2,2,"675 Oak Run Trl UNIT 301, Oak Park, CA 91377",675 Oak Run Trl UNIT 301,Oak Park,CA,91377,34.184055,-118.76704,Coldwell Banker Realty,false,,,https://photos.zillowstatic.com/fp/bdc59efd64d0831f1a407b9ad873cfca-p_e.jpg,https://www.zillow.com/homedetails/675-Oak-Run-Trl-UNIT-301-Oak-Park-CA-91377/16497000_zpid/,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A34.39358639060095%2C%22south%22%3A33.646912113366774%2C%22east%22%3A-117.88370210449219%2C%22west%22%3A-118.93976289550781%7D%2C%22usersSearchTerm%22%3A%22%22%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D,,,,,,,,,,,,,
21110438,FOR_SALE,Condo for sale,27 days,555000,867,640,,,3073,,,3,1,"16923 Cedarwood Ct, Cerritos, CA 90703",16923 Cedarwood Ct,Cerritos,CA,90703,33.87753,-118.06723,Major League Properties,false,,,https://photos.zillowstatic.com/fp/41216cd8cadbd32631233338ecaa0a62-p_e.jpg,https://www.zillow.com/homedetails/16923-Cedarwood-Ct-Cerritos-CA-90703/21110438_zpid/,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A34.39358639060095%2C%22south%22%3A33.646912113366774%2C%22east%22%3A-117.88370210449219%2C%22west%22%3A-118.93976289550781%7D%2C%22usersSearchTerm%22%3A%22%22%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D,,,,,,,,,,,,,
21150123,FOR_SALE,House for sale,4 days,725000,1015,714,,,,2063,sqft,3,2,"1610 E 61st St, Long Beach, CA 90805",1610 E 61st St,Long Beach,CA,90805,33.86541,-118.17316,The Keystone Team,false,,,https://photos.zillowstatic.com/fp/d50c62457d934e26392d431153241f07-p_e.jpg,https://www.zillow.com/homedetails/1610-E-61st-St-Long-Beach-CA-90805/21150123_zpid/,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A34.39358639060095%2C%22south%22%3A33.646912113366774%2C%22east%22%3A-117.88370210449219%2C%22west%22%3A-118.93976289550781%7D%2C%22usersSearchTerm%22%3A%22%22%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D,,,,,,,,,,,,,
20389211,FOR_SALE,Condo for sale,3 days,599000,1189,504,636100,535,4134,7.1577,acres,3,2,"7765 W 91st St UNIT F1100, Playa Del Rey, CA 90293",7765 W 91st St UNIT F1100,Playa Del Rey,CA,90293,33.957623,-118.431564,Compass,false,,,https://photos.zillowstatic.com/fp/809254417af4f210127a9c2b018c24ca-p_e.jpg,https://www.zillow.com/homedetails/7765-W-91st-St-UNIT-F1100-Playa-Del-Rey-CA-90293/20389211_zpid/,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A34.39358639060095%2C%22south%22%3A33.646912113366774%2C%22east%22%3A-117.88370210449219%2C%22west%22%3A-118.93976289550781%7D%2C%22usersSearchTerm%22%3A%22%22%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D,,,,,,,,,,,,,
20436826,FOR_SALE,House for sale,4 days,2795000,3247,861,2908000,896,7918,5702.004,sqft,5,5,"3843 Minerva Ave, Los Angeles, CA 90066",3843 Minerva Ave,Los Angeles,CA,90066,34.008743,-118.421715,Compass,false,,,https://photos.zillowstatic.com/fp/1f23bde6d830f26f50701aff26183160-p_e.jpg,https://www.zillow.com/homedetails/3843-Minerva-Ave-Los-Angeles-CA-90066/20436826_zpid/,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A34.39358639060095%2C%22south%22%3A33.646912113366774%2C%22east%22%3A-117.88370210449219%2C%22west%22%3A-118.93976289550781%7D%2C%22usersSearchTerm%22%3A%22%22%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D,,,,,,,,,,,,,
20798151,FOR_SALE,House for sale,3 days,3300000,2409,1370,3376300,1402,15500,5083.452,sqft,4,4,"1611 Sunset Plaza Dr, Los Angeles, CA 90069",1611 Sunset Plaza Dr,Los Angeles,CA,90069,34.100456,-118.380974,The Agency,false,,,https://photos.zillowstatic.com/fp/44601ba241aba9228f5bb7f0f831b134-p_e.jpg,https://www.zillow.com/homedetails/1611-Sunset-Plaza-Dr-Los-Angeles-CA-90069/20798151_zpid/,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A34.39358639060095%2C%22south%22%3A33.646912113366774%2C%22east%22%3A-117.88370210449219%2C%22west%22%3A-118.93976289550781%7D%2C%22usersSearchTerm%22%3A%22%22%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D,,,,,,,,,,,,,
20436233,FOR_SALE,Condo for sale,4 days,588000,892,659,603600,677,2946,7498,sqft,2,2,"3813 Huron Ave APT 4, Culver City, CA 90232",3813 Huron Ave APT 4,Culver City,CA,90232,34.014343,-118.41389,"Douglas Elliman of California, Inc",false,,,https://photos.zillowstatic.com/fp/9b42799b2b1f8b1b7c3b5578906438cd-p_e.jpg,https://www.zillow.com/homedetails/3813-Huron-Ave-APT-4-Culver-City-CA-90232/20436233_zpid/,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A34.39358639060095%2C%22south%22%3A33.646912113366774%2C%22east%22%3A-117.88370210449219%2C%22west%22%3A-118.93976289550781%7D%2C%22usersSearchTerm%22%3A%22%22%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D,,,,,,,,,,,,,
21150897,FOR_SALE,House for sale,3 days,675000,1287,524,689500,536,2925,5606.172,sqft,2,1,"6030 Lemon Ave, Long Beach, CA 90805",6030 Lemon Ave,Long Beach,CA,90805,33.86428,-118.17891,Keller Williams Westlake Village,false,,,https://photos.zillowstatic.com/fp/518bdf3f75f11b54081ac8aee9eb96da-p_e.jpg,https://www.zillow.com/homedetails/6030-Lemon-Ave-Long-Beach-CA-90805/21150897_zpid/,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A34.39358639060095%2C%22south%22%3A33.646912113366774%2C%22east%22%3A-117.88370210449219%2C%22west%22%3A-118.93976289550781%7D%2C%22usersSearchTerm%22%3A%22%22%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D,,,,,,,,,,,,,
