zipcode,median_income,population,households,housing_units,homeowner_vacancy_rate,rental_vacancy_rate,occupied_housing_units,latitude,longitude,median_rooms,median_rent,median_value,value_to_income
89010,46250.0,333,146,198,0.0,2.1,146,37.82511,-118.08079,4.2,565.0,113800.0,2.46
89019,47177.0,2501,1161,1766,3.0,43.4,1161,35.76949,-115.51606,4.4,769.0,249400.0,5.29
89060,38891.0,11857,4761,5553,2.9,12.9,4761,36.38854,-116.05769,5.5,902.0,208800.0,5.37
89061,54710.0,7891,3429,4107,7.4,7.2,3429,36.07143,-115.89957,5.5,1470.0,286400.0,5.23
89439,57879.0,2154,925,1051,2.3,28.9,925,39.52291,-119.99008,5.7,1106.0,681300.0,11.77
90001,38521.0,55859,13400,13820,0.7,2.2,13400,33.97365,-118.24904,4.5,1377.0,487800.0,12.66
90002,35410.0,53150,12618,13036,0.6,2.4,12618,33.94906,-118.24679,4.7,1434.0,462400.0,13.06
90003,37226.0,72764,17538,18244,1.0,2.6,17538,33.96409,-118.27368,4.6,1407.0,494600.0,13.29
90004,48754.0,58585,23453,24944,1.1,4.2,23453,34.07624,-118.31101,3.3,1680.0,1289600.0,26.45
90005,35149.0,37987,17134,18721,3.5,6.8,17134,34.05939,-118.30909,2.7,1572.0,1020300.0,29.03
90006,35411.0,58229,20205,21425,1.5,4.0,20205,34.04807,-118.29411,3.0,1346.0,781400.0,22.07
90007,25226.0,40944,13374,14971,1.1,6.0,13374,34.02819,-118.28486,3.5,1396.0,789700.0,31.31
90008,39907.0,33041,14227,15112,1.0,4.5,14227,34.01037,-118.3428,4.1,1468.0,920700.0,23.07
90010,61849.0,5400,2851,3152,1.2,9.3,2851,34.06209,-118.31262,2.6,2349.0,904600.0,14.63
90011,36954.0,102308,23645,24348,0.5,2.0,23645,34.00689,-118.25861,4.4,1425.0,531600.0,14.39
90012,42275.0,33851,14001,15327,2.0,5.9,14001,34.06679,-118.23878,2.8,2044.0,702100.0,16.61
90013,21676.0,15589,7750,9420,1.7,15.6,7750,34.04435,-118.24,1.4,1092.0,755100.0,34.84
90014,35857.0,9254,5952,6788,2.6,11.1,5952,34.04302,-118.25182,1.3,1424.0,654000.0,18.24
90015,39016.0,27324,12553,14593,6.1,12.5,12553,34.03932,-118.26625,2.1,2287.0,904900.0,23.19
90016,46680.0,46512,16798,17716,1.0,4.1,16798,34.02881,-118.35436,4.1,1595.0,838500.0,17.96
90017,31423.0,27295,12758,15191,34.8,11.5,12758,34.05306,-118.26447,1.8,1493.0,708900.0,22.56
90018,41768.0,50179,16602,17553,1.1,3.7,16602,34.0286,-118.31737,4.1,1486.0,850900.0,20.37
90019,52625.0,62002,23798,25266,1.1,4.0,23798,34.04861,-118.33874,3.9,1708.0,1151500.0,21.88
90020,46504.0,38694,17501,18516,1.0,4.6,17501,34.06638,-118.30986,2.8,1652.0,704900.0,15.16
90021,15149.0,5192,1586,1725,2.8,6.1,1586,34.02909,-118.23889,1.4,961.0,1046900.0,69.11
90022,43366.0,64517,17482,17963,0.4,1.4,17482,34.02455,-118.15608,4.3,1322.0,574300.0,13.24
90023,41308.0,45939,12000,12395,0.5,1.8,12000,34.02264,-118.19986,4.1,1376.0,586500.0,14.2
90024,63306.0,52862,16877,19785,2.3,13.7,16877,34.06565,-118.43521,3.8,2618.0,1451200.0,22.92
90025,83655.0,45466,22626,24402,0.8,6.0,22626,34.04551,-118.44583,3.8,2418.0,1072300.0,12.82
90026,60820.0,63329,25814,27657,1.0,3.7,25814,34.07883,-118.2637,3.7,1702.0,1108500.0,18.23
90027,64091.0,44471,22523,23871,1.0,3.3,22523,34.12515,-118.29049,3.3,1840.0,1578200.0,24.62
90028,43998.0,32330,18036,20700,8.9,10.2,18036,34.09982,-118.3268,2.5,1722.0,879100.0,19.98
90029,39562.0,34695,13661,14552,1.7,3.7,13661,34.08983,-118.29467,2.7,1541.0,1032300.0,26.09
90031,44343.0,37333,11962,12570,0.7,3.2,11962,34.08122,-118.21081,4.0,1416.0,689000.0,15.54
90032,50989.0,43506,13187,13741,0.6,2.9,13187,34.0793,-118.17835,4.6,1448.0,694800.0,13.63
90033,35548.0,46081,13191,13843,0.7,2.7,13191,34.05117,-118.21165,3.8,1311.0,632200.0,17.78
90034,71295.0,57152,25781,27334,0.7,4.9,25781,34.03059,-118.39936,3.3,2124.0,1316100.0,18.46
90035,79534.0,30294,12846,13901,0.9,5.9,12846,34.05139,-118.38577,4.2,2374.0,1657200.0,20.84
90036,80998.0,39549,19913,21334,1.3,5.1,19913,34.07013,-118.34978,3.6,2622.0,1869500.0,23.08
90037,33856.0,63706,17303,18150,0.9,3.0,17303,34.00271,-118.28747,4.2,1374.0,598700.0,17.68
90038,39984.0,27414,12635,13859,2.3,6.6,12635,34.08882,-118.32671,3.1,1697.0,1020800.0,25.53
90039,86031.0,28059,11785,12497,1.0,3.5,11785,34.11242,-118.26153,4.5,1996.0,1139300.0,13.24
90040,46532.0,12089,3361,3428,0.5,1.4,3361,33.99318,-118.1489,4.7,1337.0,550500.0,11.83
90041,80547.0,26654,9468,9981,1.1,3.3,9468,34.13749,-118.20746,4.6,1747.0,1042100.0,12.94
90042,59746.0,58295,21262,22283,0.9,3.3,21262,34.11475,-118.192,4.1,1756.0,850700.0,14.24
90043,47500.0,46179,16383,17193,0.8,4.1,16383,33.98876,-118.33519,4.7,1389.0,816600.0,17.19
90044,34311.0,94354,27132,28208,0.9,2.9,27132,33.95253,-118.29194,4.6,1397.0,551800.0,16.08
90045,96812.0,41035,16440,17825,0.6,9.7,16440,33.95302,-118.40028,4.6,2790.0,1277400.0,13.19
90046,67667.0,49987,29438,31889,1.7,5.6,29438,34.10752,-118.36575,3.4,2071.0,1389100.0,20.53
90047,47477.0,50154,16757,17482,0.5,4.3,16757,33.95456,-118.30899,5.1,1471.0,612200.0,12.89
90048,95197.0,22604,12370,13444,2.1,5.7,12370,34.07293,-118.3727,4.1,2284.0,1694500.0,17.8
90049,127658.0,36980,17009,18309,1.2,5.6,17009,34.08749,-118.48976,5.0,2827.0,,
90056,86100.0,8184,3425,3570,0.2,4.4,3425,33.99361,-118.36884,5.7,2245.0,1358200.0,15.77
90057,33861.0,45510,16481,17507,2.2,4.5,16481,34.06205,-118.27704,2.5,1369.0,625000.0,18.46
90058,20982.0,3751,1169,1249,5.0,3.4,1169,34.00264,-118.21452,4.1,941.0,457500.0,21.8
90059,41995.0,43551,10639,10968,0.6,3.0,10639,33.92709,-118.2491,4.7,1248.0,486500.0,11.58
90061,39739.0,29570,7857,8116,0.7,2.8,7857,33.92037,-118.27383,4.6,1393.0,513300.0,12.92
90062,44835.0,32524,9433,9839,0.9,3.0,9433,34.0035,-118.30904,4.8,1451.0,632300.0,14.1
90063,46613.0,50227,13363,13930,0.7,1.9,13363,34.0452,-118.18583,4.5,1404.0,587000.0,12.59
90064,95865.0,27553,11548,12750,0.6,10.2,11548,34.0358,-118.42653,4.8,2554.0,1655300.0,17.27
90065,63147.0,44328,15713,16373,1.1,2.9,15713,34.10867,-118.22813,4.4,1709.0,959500.0,15.19
90066,79088.0,55304,23743,25186,1.1,5.1,23743,34.00166,-118.43104,4.0,2082.0,1519200.0,19.21
90067,129306.0,3344,2042,2724,3.3,19.5,2042,34.0565,-118.41373,4.4,,1529200.0,11.83
90068,83756.0,24361,13149,14419,1.6,7.4,13149,34.12794,-118.32914,4.2,2107.0,1724100.0,20.58
