zipcode,median_income,population,households,housing_units,homeowner_vacancy_rate,rental_vacancy_rate,occupied_housing_units,latitude,longitude,median_rooms,median_rent,median_value,value_to_income,value_to_income_rank,population_rank,homeowner_vacancy_rate_rank,business_rank,median_income_rank
90001,38521.0,55859,13400,13820,0.7,2.2,13400,33.97365,-118.24904,4.5,1377.0,487800.0,12.663222657771087,76,161,228,426,417
90002,35410.0,53150,12618,13036,0.6,2.4,12618,33.94906,-118.24679,4.7,1434.0,462400.0,13.058458062694154,66,191,274,412,429
90003,37226.0,72764,17538,18244,1.0,2.6,17538,33.96409,-118.27368,4.6,1407.0,494600.0,13.286412722290873,61,55,106,431,421
90004,48754.0,58585,23453,24944,1.1,4.2,23453,34.07624,-118.31101,3.3,1680.0,1289600.0,26.451162981498953,3,137,74,430,364
90005,35149.0,37987,17134,18721,3.5,6.8,17134,34.05939,-118.30909,2.7,1572.0,1020300.0,29.027852854988762,2,435,3,864,430
90006,35411.0,58229,20205,21425,1.5,4.0,20205,34.04807,-118.29411,3.0,1346.0,781400.0,22.066589477845866,8,142,33,545,428
90007,25226.0,40944,13374,14971,1.1,6.0,13374,34.02819,-118.28486,3.5,1396.0,789700.0,31.30500277491477,1,377,74,744,440
90011,36954.0,102308,23645,24348,0.5,2.0,23645,34.00689,-118.25861,4.4,1425.0,531600.0,14.38545218379607,43,2,321,146,422
90016,46680.0,46512,16798,17716,1.0,4.1,16798,34.02881,-118.35436,4.1,1595.0,838500.0,17.96272493573265,17,271,106,559,377
90018,41768.0,50179,16602,17553,1.1,3.7,16602,34.0286,-118.31737,4.1,1486.0,850900.0,20.37205516184639,11,223,74,566,406
90019,52625.0,62002,23798,25266,1.1,4.0,23798,34.04861,-118.33874,3.9,1708.0,1151500.0,21.8812351543943,9,113,74,382,334
90020,46504.0,38694,17501,18516,1.0,4.6,17501,34.06638,-118.30986,2.8,1652.0,704900.0,15.157835885085154,35,415,106,724,380
90022,43366.0,64517,17482,17963,0.4,1.4,17482,34.02455,-118.15608,4.3,1322.0,574300.0,13.24309366785039,62,88,381,166,397
90023,41308.0,45939,12000,12395,0.5,1.8,12000,34.02264,-118.19986,4.1,1376.0,586500.0,14.198218262806236,47,282,321,416,408
