zipcode,median_income,population,households,housing_units,homeowner_vacancy_rate,rental_vacancy_rate,occupied_housing_units,latitude,longitude,median_rooms,median_rent,median_value,value_to_income,value_to_income_rank,population_rank,median_income_rank,homeowner_vacancy_rate_rank,business_rank,personal_rank
90001,38521.0,55859,13400,13820,0.7,2.2,13400,33.97365,-118.24904,4.5,1377.0,487800.0,12.66,76,161,417,228,426,730
90002,35410.0,53150,12618,13036,0.6,2.4,12618,33.94906,-118.24679,4.7,1434.0,462400.0,13.06,66,191,429,274,412,828
90003,37226.0,72764,17538,18244,1.0,2.6,17538,33.96409,-118.27368,4.6,1407.0,494600.0,13.29,61,55,421,106,431,521
90004,48754.0,58585,23453,24944,1.1,4.2,23453,34.07624,-118.31101,3.3,1680.0,1289600.0,26.45,3,137,364,74,430,572
90005,35149.0,37987,17134,18721,3.5,6.8,17134,34.05939,-118.30909,2.7,1572.0,1020300.0,29.03,2,435,430,3,864,866
90006,35411.0,58229,20205,21425,1.5,4.0,20205,34.04807,-118.29411,3.0,1346.0,781400.0,22.07,8,142,428,33,545,595
90007,25226.0,40944,13374,14971,1.1,6.0,13374,34.02819,-118.28486,3.5,1396.0,789700.0,31.31,1,377,440,74,744,890
90011,36954.0,102308,23645,24348,0.5,2.0,23645,34.00689,-118.25861,4.4,1425.0,531600.0,14.39,43,2,422,321,146,702
90016,46680.0,46512,16798,17716,1.0,4.1,16798,34.02881,-118.35436,4.1,1595.0,838500.0,17.96,17,271,377,106,559,737
90018,41768.0,50179,16602,17553,1.1,3.7,16602,34.0286,-118.31737,4.1,1486.0,850900.0,20.37,11,223,406,74,566,692
90019,52625.0,62002,23798,25266,1.1,4.0,23798,34.04861,-118.33874,3.9,1708.0,1151500.0,21.88,9,113,334,74,382,512
90020,46504.0,38694,17501,18516,1.0,4.6,17501,34.06638,-118.30986,2.8,1652.0,704900.0,15.16,35,415,380,106,724,866
90022,43366.0,64517,17482,17963,0.4,1.4,17482,34.02455,-118.15608,4.3,1322.0,574300.0,13.24,62,88,397,381,166,804
90023,41308.0,45939,12000,12395,0.5,1.8,12000,34.02264,-118.19986,4.1,1376.0,586500.0,14.2,47,282,408,321,416,964
90024,63306.0,52862,16877,19785,2.3,13.7,16877,34.06565,-118.43521,3.8,2618.0,1451200.0,22.92,7,194,247,9,439,443
90025,83655.0,45466,22626,24402,0.8,6.0,22626,34.04551,-118.44583,3.8,2418.0,1072300.0,12.82,72,290,140,182,320,540
90026,60820.0,63329,25814,27657,1.0,3.7,25814,34.07883,-118.2637,3.7,1702.0,1108500.0,18.23,16,101,271,106,282,462
90027,64091.0,44471,22523,23871,1.0,3.3,22523,34.12515,-118.29049,3.3,1840.0,1578200.0,24.62,5,313,241,106,453,655
90032,50989.0,43506,13187,13741,0.6,2.9,13187,34.0793,-118.17835,4.6,1448.0,694800.0,13.63,52,329,346,274,453,897
