DATE,CSUSHPINSA,MSPNHSUS,LXXRSA
1/1/1987,63.734,98500,59.42622437
2/1/1987,64.133,95200,59.89486089
3/1/1987,64.468,98400,60.4010732
4/1/1987,64.971,96500,61.3243337
5/1/1987,65.545,104900,62.03091455
6/1/1987,66.217,109000,62.77656363
7/1/1987,66.785,105000,63.45610947
8/1/1987,67.269,106800,64.13062268
9/1/1987,67.623,106500,64.89362702
10/1/1987,67.901,106500,65.7716042
11/1/1987,68.091,117000,66.71255379
12/1/1987,68.342,111800,67.77770123
1/1/1988,68.581,119000,68.77691349
2/1/1988,68.914,110900,69.71097325
3/1/1988,69.322,108900,70.69917921
4/1/1988,69.787,111000,71.48428324
5/1/1988,70.408,110000,72.47708784
6/1/1988,71.067,111500,74.38597875
7/1/1988,71.685,118000,76.92111978
8/1/1988,72.185,110000,78.6680492
9/1/1988,72.574,116600,80.60749305
10/1/1988,72.822,112900,82.3809339
11/1/1988,73.064,110400,84.41282045
12/1/1988,73.278,121000,85.81818736
1/1/1989,73.617,113000,87.47324975
2/1/1989,73.968,118000,88.77303169
3/1/1989,74.41,123000,91.14747189
4/1/1989,74.867,116700,93.01229243
5/1/1989,75.295,119000,94.56935661
6/1/1989,75.695,122800,95.51346468
7/1/1989,76.04,116000,96.25204334
8/1/1989,76.271,122900,96.66238933
9/1/1989,76.421,120000,97.19970912
10/1/1989,76.488,123000,97.87971071
11/1/1989,76.521,125000,98.99646192
12/1/1989,76.498,125200,99.77023634
1/1/1990,76.527,125000,100.4711925
2/1/1990,76.587,126900,100.7615717
3/1/1990,76.79,119400,100.9928379
4/1/1990,77.038,130000,100.9904097
5/1/1990,77.296,125000,100.3945833
6/1/1990,77.504,125000,100.1110461
7/1/1990,77.56,118700,99.50556922
8/1/1990,77.479,118400,99.04618276
9/1/1990,77.228,113000,98.42543959
10/1/1990,76.912,120000,98.00144608
11/1/1990,76.381,118900,97.11387198
12/1/1990,75.972,127000,96.54814971
1/1/1991,75.533,117900,95.56901452
2/1/1991,75.249,119900,94.70420277
3/1/1991,75.136,122500,93.77260585
4/1/1991,75.315,121000,93.7417277
5/1/1991,75.767,116000,93.90924694
6/1/1991,76.251,119000,94.06281231
7/1/1991,76.516,120000,94.28456757
8/1/1991,76.593,120800,94.25830189
9/1/1991,76.574,120000,94.09221156
10/1/1991,76.29,122600,93.87506098
11/1/1991,76.03,118500,93.47021989
12/1/1991,75.844,122000,93.13647828
1/1/1992,75.7,120000,92.78692565
2/1/1992,75.655,117200,92.5712374
3/1/1992,75.814,120000,91.91146509
4/1/1992,76.08,120000,91.44047124
5/1/1992,76.398,113000,90.86829045
6/1/1992,76.602,124500,90.16635477
7/1/1992,76.711,118000,89.48815889
8/1/1992,76.731,123500,88.9281637
9/1/1992,76.628,119500,88.31917896
10/1/1992,76.598,125000,87.35747384
11/1/1992,76.579,128900,86.64298371
12/1/1992,76.464,126000,85.81559288
1/1/1993,76.395,118000,85.24629519
2/1/1993,76.328,129400,84.66070467
3/1/1993,76.383,125000,83.61611477
4/1/1993,76.66,127000,82.79206094
5/1/1993,77.03,129900,82.04289904
6/1/1993,77.516,124500,81.42818087
7/1/1993,77.885,123900,80.56679607
8/1/1993,78.131,126600,79.48271274
9/1/1993,78.198,129400,79.04525862
10/1/1993,78.172,125000,78.38241194
11/1/1993,78.17,130000,78.23052404
12/1/1993,78.113,125000,77.57221362
1/1/1994,78.199,126000,77.39505181
2/1/1994,78.205,129900,77.44437859
3/1/1994,78.349,132300,77.26265128
4/1/1994,78.701,129000,77.08542367
5/1/1994,79.208,129900,76.66513195
6/1/1994,79.7,133500,76.43503397
7/1/1994,80.062,124400,76.40982861
